datetime,access1-0_rel_counts,bcc-csm1-1_rel_counts,bcc-csm1-1-m_rel_counts,canesm2_rel_counts,ccsm4_rel_counts,cesm1-bgc_rel_counts,cesm1-cam5_rel_counts,cmcc-cm_rel_counts,cnrm-cm5_rel_counts,csiro-mk3-6-0_rel_counts,fgoals-g2_rel_counts,fio-esm_rel_counts,gfdl-cm3_rel_counts,gfdl-esm2g_rel_counts,gfdl-esm2m_rel_counts,giss-e2-h-cc_rel_counts,giss-e2-r_rel_counts,giss-e2-r-cc_rel_counts,hadgem2-ao_rel_counts,hadgem2-cc_rel_counts,hadgem2-es_rel_counts,inmcm4_rel_counts,ipsl-cm5a-mr_rel_counts,ipsl-cm5b-lr_rel_counts,miroc5_rel_counts,miroc-esm_rel_counts,miroc-esm-chem_rel_counts,mpi-esm-lr_rel_counts,mpi-esm-mr_rel_counts,mri-cgcm3_rel_counts,noresm1-m_rel_counts
2043-10-01,0.0,0.16666666666666666,0.0,0.0,0.25,0.0,0.006944444444444444,0.0,0.0,0.2777777777777778,0.0,0.0,0.006944444444444444,0.034722222222222224,0.4930555555555556,0.0,0.0,0.0,0.25,0.0,0.027777777777777776,0.0,0.0,0.013888888888888888,0.0,0.2881944444444444,0.2777777777777778,0.018518518518518517,0.027777777777777776,0.3333333333333333,0.2638888888888889
2044-10-01,0.0,0.25925925925925924,0.0,0.0,0.04861111111111111,0.0,0.020833333333333332,0.0,0.0,0.2708333333333333,0.0,0.0,0.20833333333333334,0.020833333333333332,0.7291666666666666,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.013888888888888888,0.013888888888888888,0.0,0.3055555555555556,0.3125,0.046296296296296294,0.027777777777777776,0.3055555555555556,0.2708333333333333
2045-10-01,0.0,0.2962962962962963,0.0,0.018518518518518517,0.125,0.0,0.006944444444444444,0.0,0.0,0.2708333333333333,0.0,0.0,0.020833333333333332,0.034722222222222224,0.5763888888888888,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.013888888888888888,0.0,0.2326388888888889,0.2708333333333333,0.3148148148148148,0.037037037037037035,0.3333333333333333,0.2777777777777778
2046-10-01,0.0,0.3194444444444444,0.0,0.027777777777777776,0.1527777777777778,0.0,0.0,0.0,0.0,0.2847222222222222,0.0,0.0,0.013888888888888888,0.027777777777777776,0.7361111111111112,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.041666666666666664,0.013888888888888888,0.5,0.5,0.3333333333333333,0.046296296296296294,0.3333333333333333,0.2847222222222222
2047-10-01,0.0,0.3101851851851852,0.0,0.018518518518518517,0.08333333333333333,0.027777777777777776,0.006944444444444444,0.0,0.0,0.2916666666666667,0.0,0.0,0.1111111111111111,0.2708333333333333,0.2777777777777778,0.0,0.0,0.0,0.2638888888888889,0.0,0.24305555555555555,0.0,0.0,0.041666666666666664,0.0,0.375,0.5,0.027777777777777776,0.06481481481481481,0.046296296296296294,0.2847222222222222
2048-10-01,0.013888888888888888,0.30092592592592593,0.0,0.018518518518518517,0.04861111111111111,0.027777777777777776,0.020833333333333332,0.0,0.0,0.2986111111111111,0.0,0.0,0.24305555555555555,0.2708333333333333,0.3125,0.0,0.0,0.0,0.2638888888888889,0.0,0.020833333333333332,0.0,0.020833333333333332,0.027777777777777776,0.0,0.5,0.5,0.027777777777777776,0.07407407407407407,0.046296296296296294,0.2708333333333333
2049-10-01,0.0,0.4212962962962963,0.0,0.0,0.04861111111111111,0.027777777777777776,0.006944444444444444,0.0,0.0,0.2986111111111111,0.0,0.0,0.11805555555555555,0.4930555555555556,0.2847222222222222,0.0,0.0,0.0,0.2638888888888889,0.0,0.013888888888888888,0.013888888888888888,0.020833333333333332,0.05555555555555555,0.0,0.3854166666666667,0.2708333333333333,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.2708333333333333
2050-10-01,0.0,0.4675925925925926,0.0,0.009259259259259259,0.06944444444444445,0.027777777777777776,0.013888888888888888,0.0,0.0,0.5069444444444444,0.0,0.0,0.13194444444444445,0.5069444444444444,0.2847222222222222,0.0,0.0,0.0,0.2847222222222222,0.0,0.013888888888888888,0.0,0.027777777777777776,0.013888888888888888,0.027777777777777776,0.6215277777777778,0.5,0.046296296296296294,0.06481481481481481,0.037037037037037035,0.2847222222222222
2051-10-01,0.0,0.5046296296296297,0.0,0.027777777777777776,0.0763888888888889,0.027777777777777776,0.027777777777777776,0.0,0.0,0.3055555555555556,0.018518518518518517,0.0,0.25,0.5138888888888888,0.2986111111111111,0.0,0.0,0.0,0.2638888888888889,0.0,0.013888888888888888,0.0,0.027777777777777776,0.027777777777777776,0.041666666666666664,0.40625,0.2916666666666667,0.046296296296296294,0.07407407407407407,0.037037037037037035,0.3055555555555556
2052-10-01,0.013888888888888888,0.4351851851851852,0.0,0.018518518518518517,0.04861111111111111,0.041666666666666664,0.041666666666666664,0.0,0.0,0.2916666666666667,0.009259259259259259,0.0,0.2708333333333333,0.5277777777777778,0.2986111111111111,0.0,0.0,0.0,0.2638888888888889,0.0,0.027777777777777776,0.013888888888888888,0.041666666666666664,0.05555555555555555,0.04861111111111111,0.6111111111111112,0.75,0.23148148148148148,0.05555555555555555,0.07407407407407407,0.3125
2053-10-01,0.013888888888888888,0.4722222222222222,0.0,0.037037037037037035,0.2638888888888889,0.05555555555555555,0.034722222222222224,0.0,0.0,0.2847222222222222,0.009259259259259259,0.0,0.24305555555555555,0.5277777777777778,0.3194444444444444,0.0,0.0,0.0,0.2638888888888889,0.0,0.041666666666666664,0.0,0.041666666666666664,0.06944444444444445,0.034722222222222224,0.6388888888888888,0.7361111111111112,0.037037037037037035,0.06481481481481481,0.037037037037037035,0.3263888888888889
2054-10-01,0.013888888888888888,0.4861111111111111,0.0,0.046296296296296294,0.2777777777777778,0.027777777777777776,0.041666666666666664,0.0,0.0,0.5208333333333334,0.018518518518518517,0.0,0.2777777777777778,0.5,0.5138888888888888,0.0,0.0,0.0,0.2569444444444444,0.0,0.041666666666666664,0.041666666666666664,0.04861111111111111,0.125,0.027777777777777776,0.7083333333333334,0.75,0.046296296296296294,0.06481481481481481,0.046296296296296294,0.3541666666666667
2055-10-01,0.027777777777777776,0.4351851851851852,0.0,0.06481481481481481,0.09722222222222222,0.027777777777777776,0.04861111111111111,0.013888888888888888,0.0,0.5069444444444444,0.027777777777777776,0.0,0.4166666666666667,0.5,0.5277777777777778,0.0,0.005555555555555556,0.0,0.2847222222222222,0.0,0.24305555555555555,0.05555555555555555,0.04861111111111111,0.1111111111111111,0.04861111111111111,0.6319444444444444,0.75,0.037037037037037035,0.07407407407407407,0.09259259259259259,0.3402777777777778
