datetime,rcp26_rel_counts,rcp45_rel_counts,rcp60_rel_counts,rcp85_rel_counts
2089-10-01,0.047619047619047616,0.12544802867383512,0.0,0.23467432950191572
2090-10-01,0.047619047619047616,0.10483870967741936,0.0,0.23180076628352492
2091-10-01,0.09391534391534391,0.13082437275985664,0.0,0.23563218390804597
2092-10-01,0.09391534391534391,0.13172043010752688,0.0,0.20689655172413793
2093-10-01,0.09391534391534391,0.0967741935483871,0.0,0.23275862068965517
2094-10-01,0.09391534391534391,0.0967741935483871,0.0,0.2021072796934866
2095-10-01,0.13624338624338625,0.12903225806451613,0.059027777777777776,0.22030651340996169
2096-10-01,0.17195767195767195,0.0967741935483871,0.0625,0.23563218390804597
2097-10-01,0.13095238095238096,0.09498207885304659,0.0625,0.20306513409961685
2098-10-01,0.14153439153439154,0.0967741935483871,0.0625,0.20593869731800765
